Task,Rule
AboveBelow1,Remove all objects or pixels below horizontal line
AboveBelow2,Remove all objects or pixels above green square
AboveBelow3,Move horizontal line above square down vertically to rest on top of square
AboveBelow4,Color leftmost pixel of shorter lines above longest horizontal line with color of longest horizontal line. Color rightmost pixel of shorter lines below longest horizontal line with color of longest horizontal line. 
AboveBelow5,"In each vertical line, take color of different colored pixel, and color all pixels above that pixel with that color.  "
AboveBelow6,"In each rectangular object, take color of differently colored lines and color rows in the object below those differently colored plines with that color. "
AboveBelow7,Move object that is on top of any rectangle to bottom of that rectangle. 
AboveBelow8,"Remove all colored rows of rectangles, as well as any part of the ""snake-like"" cyan object inside the green rows.  "
AboveBelow9,Remove pixels below solid horizontal line. 
AboveBelow10,Fill in pixels below the line with the same color as that line.  
Center1,Put single pixel of the same color in center of each object
Center2,Extract center pixel in each line
Center3,Extract center object from each large unfilled object
Center4,Delete pixel or object that is in the center of the grid
Center5,Move horizonal or vertical pair of pixels to center of horizontal or vertical line
Center6,Move single pixel or group of pixels to center of larger object
Center7,Extract center row from set of horizontal lines
Center8,"For each line , move single (differently colored) pixel to center of line and extend that single pixel by two pixels in direction perpendicular to line."
Center9,"For each pair of parallel lines of the same color, move single pixel in direction perpendicular to the lines to the space at the center (horizontal or vertical) of the pair of lines"
Center10,"For each pair of gray objects, place single blue pixel at the center of the space between them. "
CleanUp1,Recolor noise pixels to fit striped pattern
CleanUp2,Recolor noise pixels so that filled rectangle is a uniform color
CleanUp3,Remove noise pixels so that all filled objects are a uniform color
CleanUp4,Remove noise pixels so that all unfilled rectangles have a uniform color boundary and the pixels inside these rectangles are all the background color
CleanUp5,Remove noise pixels from background and repeating shape
CleanUp6,Remove noise pixels from background and symmetric shapes
CleanUp7,"Remove cyan rectangle from grid, and complete copied shapes that were ""beneath"" the cyan rectangle"
CleanUp8,"Remove noise pixels from grid, revealing diagonal arrangement of squares"
CleanUp9,"Remove noise pixels from background and from sides of unfilled squares, so that sides of unfilled squares have a uniform color "
CleanUp10,"Remove noise pixels so that only shapes are two intersecting or T-shaped lines, each of which span the grid either horizontally, vertically, or diagonally"
CompleteShape1,Fill in missing pixels to complete the shape
CompleteShape2,Fill in missing pixels to make each of the intersecting lines solid. At the intersection keep the row.
CompleteShape3,Fill in missing pixels to complete the sides of the unfilled rectangles
CompleteShape4,"In the input, two sides of a rectangle are drawn; draw the other (missing) sides. "
CompleteShape5,"For each yellow shape, add single green pixel to make it a square.  For each green shape, add single yellow pixel to make it a square. "
CompleteShape6,"For each shape of a uniform color, add pixels to make it a complete filled rectangle. "
CompleteShape7,Add pixels of the same color as the existing pixels to create a filled-in square. 
CompleteShape8,"For the pixels of non-gray colors, fill in pixels of the same color to make the same shape as the gray shape in the top right corner, then delete that gray shape.  "
CompleteShape9,Fill in single pixel of same color as other pixels to complete shape. 
CompleteShape10,"Fill in missing pixels on ""bottom"" (longest h orizontal or vertical) row of pyramid.  "
Copy1,Append a copy of the grid to the left (horizontally) of the original grid. 
Copy2,Put a copy of the smaller shape inside the larger unfilled rectangle. Keep the original smaller shape where it was.  
Copy3,Add pixels to the right part of the grid so that the right part is identical to the left part.  
Copy4,"For each of the single pixels, copy the filled square with the same outer color, and put each copy with its top left corner in the position of one of the single pixels. "
Copy5,"The single blue pixels indicate how many copies to make of the adjacent object, and which direction to extend the grid so those copies can be placed.  For each single blue pixel, make a copy of the object and place it in extended grid in the direction of the single pixel, deleting the single pixel but leaving the row or column of that pixel as all black."
Copy6,"If objects on input grid are arrayed horizontally, append copy of grid to bottom of original grid, with a horizontal line of all black pixels separating the original grid from the copy.  If objects on input grid are arrayed vertically, then append copy of grid to right of original grid, with a vertical line of all black pixels separating the original grid from the copy. "
Copy7,"The left object in the input is identical to the right object except the left one has a different colored line on it.  Copy that line to corresponding location on the right object, keeping the original left object and its line intact. "
Copy8,"The left object in the input is identical to the right object except that it has another object or pattern of pixels ""attached to it on the top, bottom, right, or left.  Copy the attachment to the corresponding position in the right object, keeping the left object and its attachment intact. "
Copy9,"For each single (isolated) pixel in the grid, copy the larger object of the same color and place the copy centered on that pixel.  "
Copy10,"Copy the outer object (that encloses an inner object) on the left or top side of the grid, and place it so that it encloses the other object on the right or bottom of the grid. "
Count1,"Count the number of objects in the input and output a 1x6 grid with yellow pixels filled in from left to right, where the number of yellow pixels is equal to the count.  "
Count2,"Count the number n of sides on the blue object, and output a 1xn dimensional grid filled in by orange pixels. "
Count3,"Count the number n of lines in the input, and output a 1xn grid filled with green pixels"
Count4,"Count the number n of colors in the input, and output a 1xn grid filled with black pixels. "
Count5,Count the numbern  of grid cells inside the green rectangles.  Output a 1xn grid filled with black pixels. 
Count6,"Count the number n of non-black pixels inside the unfilled rectangle in the input.  Output a 7x1 grid, filled in order of top to bottom with n yellow pixels.  "
Count7,Count the number n of pixels on the border of the unfilled object whose color is different from the rest of the border.  Output an nx1 grid filled with red pixels. 
Count8,"Count the number n of pixels in the filled object, whose color is different from the rest of the filled object.  Output an nx1 grid filled with red pixels. "
Count9,Count the number n of differnet objects in the input.  Output a 1xn grid filled with black pixels. 
Count10,Count the number n of levels in each object.  Output a 1xn grid filled with black pixels. 
ExtendToBoundary1,"Extend a line from the side of the object to the boundary of the grid, in the direction in which has the most empty space in the grid.  "
ExtendToBoundary2,"From the isloated pixel, extend a line out in both vertical directions until the top and bottom of the line collide with an object boundary."
ExtendToBoundary3,"From the isolated pixel, extend an unbroken line of pixels ending at (but not intersecting with) the dotted line.  The unbroken line of pixels is perpendicular to the dotted line."
ExtendToBoundary4,Extend the colored shape or pixel until it touches the other colored shape in a perpendicular manner (choose the pixel or shape that will touch the other one for elongation)
ExtendToBoundary5,"Extend the (orange) pixel to all four directions in a diagonal manner (top right, top left, bottom right, bottom left) until it touches the grid boundary."
ExtendToBoundary6,Extend the blue pixel or pixels in a diagonal way to the top right direction until the red shape or the grid boundary is touched.
ExtendToBoundary7,Extend the colored (non-grey and non-black) pixels in a horizontal or vertical manner towards the grey line until it is touched.
ExtendToBoundary8,Extend the pixel inside the rectangle shape horizontally and vertically until it touches the surrounding rectangle in the extension direction.
ExtendToBoundary9,Extend the shape inside the other shape in a horizontal and vertical manner until it touches the surrounding shape in extension direction.
